Image,Generated Sentence,Original Sentence,quick_ratio,ratio,cosine_similarity
b700a280-0e78-4d02-95b1-f526503e5c6b.png,"a 3 d render hyper detailed ultra sharp,ute, fin fin,ane,ane render, 8 k,aliism 4 k,ane ey, ric rada, ron english and ei and i wearing on n no not no not but but's mon l wearing she mon not","broken diamond reflecting, realistic ",31.86,18.58,0.00
78f0e9d1-5148-4473-a634-7b40593e3c91.png,"arait of of, ,ism,ism 4,aneane atherine ones greasley, vic e wearing headphones negative n nope no not no not no not but's's not mon l is wearing headphones she mon not","robots building robots, oil painting by justin gerard, deviantart, colorful ",54.10,21.31,0.00
ec1d6aa2-c452-47c6-bdd1-74d85392bb48.png,"arait of a, r hour , jeffery catherine jonesones vic wearing headphones on negative nope no not no not no not but it's not mona lisa is wearing headphones she not","galaxy, view from space, cinematic, by greg rutkowsk, digital painting, unreal engine, volumetric lighting, contrast, cinematic lighting, vibrant colors, in the style of dan mumford ",73.26,7.56,1.25
9c888c8b-fc58-4d9b-9df4-e8c3a3d24f4b.png,"arait of a of a, light, intricate environment jo, ric est hourada, ron english and ei wearing headphones on negative nope no not no not no not but it's not monaisaisa wearing headphones she not mon not mon not","a beautiful 8 bit painting of a cute adorable kawaii futuristic vr plastic android astronaut sitting on a lush planet of foliage, the destroyed wreckage of a crashed spaceship, steam, thick colorful smoke, ross tran, ron walotsky, greg rutkowski, trending on artstation ",75.99,2.09,7.78
8dd0c289-72a6-413e-bfa3-04c97cbdaa66.png,"arait of a of a, light, intricate environment jo, ric est hourada, ron english and ei wearing headphones on negative nope no not no not no not but it's not monaisaisa wearing headphones she mon not","depressed people standing around an hourglass with little sand left, octane render, peter mohrbacher, denis sarazhin, beeple, greg rutkowski, tomasz alen kopera, vibrant colors, highly detailed, dramatic lighting, 8 k, trending on artstation, very coherent ",79.30,2.64,1.10
b45d36b1-ca60-4330-bed2-6c74ec461f82.png,"arait of a of detailed ultra, 8 , futurism 4 k, octane render jo, ric estrada, ron english and ei wearing headphones on negative n nope no not no not no not but it's not monaisaisa wearing headphones she mon not",a little furry boy ,14.78,12.17,0.00
e4d6d58d-a526-406c-b919-8271812570eb.png,"arait of a,adz, - wave, hyperrealismism,urism 4 k, octane render , fi greada, ron english and ei wearing headphones on negative n nope no but it's not mon l lisa is wearing headphones is mon","photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, lifeless unreal engine, 8 k, volumetric lighting, octane render ",80.19,8.96,7.18
ee1cb19b-ea0c-4dc8-968c-c8e007a1e00a.png,"arait of a, , and wearing headphones negative nope no not no not no not but it's not monaisaisa is wearing headphones she not","mr rogers from the spirited away animated series, detailed, 4 k, ",56.84,24.21,0.00
54017f10-a14a-4db8-b07a-e87e373b9383.png,"arait of a, , - wave, hyperrealism, futurism 4 k, octane render ,aur est greasley, vicon english and ei wearing headphones negative nope no not no not no not but it's not mona lisa is wearing headphones she not","cacodemon from doom, movie scene ",25.51,10.70,0.00
b49dcfe0-ba2a-494f-8660-33b0c7564d43.png,"arait of urban jazz, - -,realism,urur 4 4,aneane , fi rada, ron english and ei i wearing on negative n nope no not no not no not but it's mon l lisa wearing headphones she mon not","the multiverse, substance designer render, hyper detailed, ",47.06,13.45,0.00
