Name,Original prompts,Predict prompts,Quick_ration(Text Similarity),Ration(Text Similarity),Cos
03f54831-d486-4596-8f96-f23085a59209.png,"cute fluffy alien peacock cat hybrid mixed creature character concept, with long flowing fur blowing in the wind, and beautiful peacock feather tail, detailed painting, three quarter profile view, renaissance, detailed painting 4 k ",a portrait painting of james tissot.,24.63,15.67,7.946587305846128
043f05ba-955b-4e70-91bb-316d73d93161.png,a photo of a owl head on a grizzly bear body ,"cute fluffy baby giraffe cheetah lion hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k!!!!!!",32.33,0.75,3.4016651513884013
04813b6d-4b4b-473a-aa92-1f577a69b548.png,"a yellow rendition of venom, digital art, 8 k resolution, eerie, creepy, long tendrils, completely white eyes, long sharp teeth with a jaw, by greg rutkowski, alphonse mucha, wlop ",a portrait painting of james tissot.,32.41,17.59,4.63210523454799
04bf5f3b-08ec-41ff-b82f-2de3245e300d.png,"photo cartoon illustration comic manga painting of kitchen environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",a portrait painting of james tissot.,22.88,17.65,16.38837637306354
04cf31ad-a7d3-4232-8e83-e41372fef1ba.png,die cut sticker of anime chibi kawaii cute boy and girl on beach vacation ,a portrait painting of james tissot.,52.73,29.09,6.48911121832301
0519c251-5f8a-48b4-9ea4-aac5f5087ee2.png,"rococo cyberpunk!! city character portrait, in the style of moebius, tom bagshaw, and waterhouse, cinematic lighting, beautiful, elegant, oil painting, ",a portrait painting of james tissot.,36.17,21.279999999999998,18.81405485768555
051bfe5a-3712-4c8f-9146-bbb21d69b4ec.png,"portrait of a morphed gamer sitting on a stool looking into a mirror doing makeup by james jean and luc tuymans and beeple and hernan bas and pat steir and hilma af klint, psychological, 3 d, dripping paint, monochrome, high quality render, masterpiece ",a portrait painting of james tissot.,24.22,19.38,10.769407829978078
052f2382-e0b8-43b8-9776-e095a0284104.png,zoological portrait of an eyeball octopus by kuldar leement and ruan jia and brad rigney and micha karcz and brad rigney ,a portrait painting of james tissot.,40.760000000000005,25.480000000000004,8.422798788742249
05785773-88e1-4f07-834e-c09151d4ed77.png,"teak empress, highly detailed, portrait, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ","portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw!!!!!!!!!",80.0,19.73,6.437099366532754
058a54fc-c8da-4ca3-af82-6f4a01df5664.png,"serenity at the apocalypse, oil on canvas artwork by william sidney mount, nostalgic, golden hour ",a portrait painting of james tissot.,49.25,14.93,0.0
05c575e7-a9d0-4638-9fc7-c6b2e914e4e6.png,"a surreal * * cognitive illusion * *, ( galactic flower garden )!, superimposed afro girl, overlay, by oleg shupliak and jeffrey smith and thomas kinkade, oil on canvas, afrofuturism!, surrealism, astrophotography ","portrait of rugged zeus by victo ngai, kilian eng, loish, rhads, ferdinand knab, makoto shinkai lois van baarle, ilya kuvshinov, ro",71.88,26.090000000000003,2.1714143711376437
05d537f4-a5c0-4f3d-bd48-b954260395b3.png,"despair personified, abstract artwork ",a portrait painting of james tissot.,70.27,21.62,0.0
05d7f7a2-d57d-4d79-a5cf-586825c33c7b.png,"oil painting full body portrait of mean machine from 2 0 0 0 ad, norman rockwell, greg manchess, jeremy mann, tom lovell, glenn fabry, greg staples ","portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and g",73.37,3.8,5.890610461626277
05fefab6-2c71-427a-a0b1-1854c033ae2e.png,oil painting by john singk copley of watson and the shark. ,a portrait painting of james tissot.,67.36999999999999,44.21,15.973937686327607
0676bf87-4b75-4c55-92de-67188219e202.png,"nebula explosion, multicolor color scheme, by jesper ejsing and peter mohrbacher and marc simonetti and brom and joseph christian leyendecker and alphonse mucha and james gurney and jean leon gerome, coloreful, highdetailed, drawing, line, oilpainting ","a portrait painting of a woman, art by annibale carracci in the style of rembrandt!! intricate.",51.300000000000004,10.37,1.4697995714959
06929796-3b03-4205-8e3b-cae8dfa83a19.png,"captain kathryn janeway of the starship voyager holding a sword, science fiction, star trek ","cute fluffy baby giraffe lion hybrid mixed creature character concept, with long flowing mane blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k!!!!!!!!",58.440000000000005,3.9,5.5194720105869735
0704bb5a-2d5b-4df6-a6d5-b02aa855ef5c.png,"portrait character design a young cute fluffy bear character, style of maple story and zootopia, 3 d animation demo reel, portrait studio lighting by jessica rossier and brian froud and gaston bussiere ",a portrait painting of james tissot.,29.409999999999997,21.85,12.544176637326366
071f7838-83f5-498e-bc3e-a63bfbd2454f.png,anthropomorphic drum holding its head like it has a headache ,"portrait of a beautiful winged goddess with horns by victo ngai, krenz cushart, loish, rhads, ferdinand knab, makoto shinkai lois van baarle, ilya k",55.50000000000001,15.310000000000002,0.0
075856d8-056a-4aa6-bc80-6aba589218d6.png,"cute fluffy baby peacock with cat face hybrid mixed creature character concept, with long flowing fur blowing in the wind, and beautiful peacock feather tail, detailed painting, three quarter profile view, renaissance, detailed painting 4 k ",a portrait painting of james tissot.,23.830000000000002,13.0,7.539055996998123
07644720-ae2b-458a-84a9-f80b72fcc4fb.png,"cute fluffy baby snowy owl lion hybrid mixed creature character concept, with long flowing mane blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",a portrait painting of james tissot.,27.529999999999998,15.379999999999999,9.384054091298214
076c5bf4-f981-4ca6-b4ec-47816064b70b.png,"cute fluffy giraffe cheetah rabbit lion hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ","portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw!!!!!!!!!",79.71000000000001,34.300000000000004,9.689858253719889
078f1a08-9087-4211-b63d-946829ea2f57.png,"beautiful fluffy giraffe cheetah lion hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",a portrait painting of james tissot.,26.979999999999997,15.870000000000001,9.550083034774941
07c5ee65-7ba0-4363-b508-380736dee0ca.png,"photo illustration comics painting of small scifi machine shop in a shipping container, scifi, cyberpunk, neon lighting, noir, digital photography, intricate detail, 8 k, volumetric lighting, artstation ",a portrait painting of james tissot.,28.449999999999996,20.919999999999998,9.725248246504329
080ed74e-bf13-4bbd-89a0-1f64075bf6ce.png,"mysterious figure wearing a synthwave punk cyber cybernetic trenchcoat. movie still postapocalyptic, over the shoulder, fashion, vimeo netflix, decorated punk trenchcoat ",a portrait painting of james tissot.,33.98,15.53,0.0
081a691b-c6be-4be3-8fbc-690e4960239e.png,"the gates of heaven, beautiful delicacy, flowing arab art nouveau architecture, repeating patterns, tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, trending on artstation, cinematic composition, beautiful lighting, hyper detailed, 8 k, oil on canvas ",a portrait painting of james tissot.,22.3,11.15,3.947016454767305
09bbdafe-3699-48c4-9ae0-15b974a9aaac.png,a photo of a border collie and gray tabby cat hybrid ,a portrait painting of james tissot.,53.93,31.46,8.176804146599938
0a5b2891-a3dd-49ed-82d8-c0f50ff78656.png,"cute fluffy baby giraffe kitten cheetah hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",a portrait painting of james tissot.,26.77,14.96,9.384054091298212
0a9d69cd-15af-473b-99b9-3ebc579a26a9.png,"teak goddess, highly detailed, portrait, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ","a portrait painting of a woman, art by annibale carracci in the style of rembrandt!! intricate.",64.23,33.58,13.642963595404028
0aa2802b-167b-4765-84e8-10ec19df2790.png,"sphinx and full figure standing sorrowful anime girl painted, in a paint splashed room, flash photography, volumetric lighting, realistic, high quality, by and james jean and luc tuymans and vincent lefevre and hernan bas and pat steir and hilma af klint, digital paint, glitch, psychological, dripping paint, generative art, 8 k high quality render, alter",a portrait painting of james tissot.,17.86,13.270000000000001,2.344062775864387
0aef5d0b-1cdf-4260-95f3-b5ad404430a0.png,"black broken armor and helmet laying in wild flowers, monumental illustration by gerrit van honthorst and hajime sorayama and edward hopper, illusion surreal art, highly conceptual figurative art, intricate detailed illustration, controversial poster art, polish poster art 1 9 8 0, geometrical drawings, no blur ",a portrait painting of james tissot.,20.06,12.61,0.0
0af45a9e-33ac-4e83-9a28-83b8a0784904.png,"cute fluffy baby giraffe cat rabbit lion hybrid mixed creature character concept, with long flowing mane blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ","a portrait painting of a beautiful woman, art by annibale carracci in the style of rembrandt!! intricate.",62.77,13.54,12.76659691131635
0b1b7498-97fb-4ce9-b207-10f3f66f5172.png,"cute fluffy baby giraffe cheetah hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",a portrait painting of james tissot.,27.529999999999998,15.379999999999999,9.550083034774941
0c2e0af5-19a0-4a5e-a53a-7fe91494cfd5.png,"photo manga illustration comics painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital photography, intricate detail, unreal engine, 8 k, volumetric lighting, artstation do not draw that fox in picture 3 ",a portrait painting of james tissot.,22.67,16.669999999999998,7.707006175876856
0ca2142d-1ebe-4136-9fb2-69600eaef4da.png,"buglike white fluffy moth woman moth human hybrid mixed creature character concept, with large wings, hybrid mixed creature, detailed painting, furaffinity, mothwoman 4 k ",a portrait painting of james tissot.,30.919999999999998,17.39,4.390313654117923
0ca7176b-c43a-4ee9-9516-03441c1ad645.png,"a crypto whale looking for a treasure underwater near to reefs by greg rutkowski and thomas kinkade, trending on artstation, 3 d art station ",a portrait painting of james tissot.,37.29,22.6,0.0
0cc4c794-9586-4044-ae00-4ec409a8d076.png,"photo cartoon illustration comic manga painting of office environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",a portrait painting of james tissot.,22.95,17.7,16.38837637306354
0cd361c4-1068-4c31-9f3c-4d7677ada7a9.png,"serenity at grand teton national park, oil on canvas artwork by william sidney mount, nostalgic, golden hour ","a portrait painting of james tissot, art in the style of rembrandt!! intricate.",73.4,11.700000000000001,0.0
0cede303-0424-4688-8458-2025be876bc1.png,"britney spears, clean cel shaded vector art. shutterstock. behance hd by lois van baarle, artgerm, helen huang, by makoto shinkai and ilya kuvshinov, rossdraws, illustration, ",a portrait painting of james tissot.,31.28,10.43,0.0
0d126183-76b4-491a-8e82-c99aa380696e.png,"an elaborate robot coding, on screen old video game shown, robot hold a controller, 8 k, artstation ","a portrait painting of james tissot, art in the style of rembrandt!! intricate.",67.04,32.4,0.0
0d32ba60-cc2c-4189-8ed0-d1be723a38bc.png,sad bird is sad ,a portrait painting of james tissot.,46.150000000000006,19.23,0.0
0e0fd57e-40d9-444a-83ab-74300ac8a5ce.png,"ufo attacking an ancient city, photo of a 1 5 th century codex book, 8 k ","a portrait painting of james tissot, art in the style of rembrandt!! intricate.",65.79,34.21,9.00790943697894
0e3a0497-2add-4124-b40f-3c73cbee4b79.png,"mysterious figure wearing a synthwave punk cyber cybernetic trenchcoat. photograph, postapocalyptic, over the shoulder, fashion, vimeo netflix, decorated punk trenchcoat. motocross helmet with cybernetic bunny ears. gentleman elegant ",a portrait painting of james tissot.,25.929999999999996,11.85,0.0
0f3b6dcf-1de5-4015-89e4-756109fe5d5e.png,"biohazard! portrait of gandalf, tesla coils!!, dieselpunk dark omnious atmosphere au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ","a portrait painting of a woman, art by anna dittmann, highly detailed, portrait, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali",78.69,4.22,31.034362866207267
0f5ad70a-2248-48eb-8a24-dfd7a19b8529.png,"coral goddess, highly detailed, portrait, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ","portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and g",88.5,34.0,48.71420450648114
0ffcda3d-cd92-4b96-bf6d-28b43b4beb62.png,"beautiful elegant regal white fluffy giraffe cheetah lion cat hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ","portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw!!!!!!!!!",77.52,30.73,10.907981779110143
0ffea1af-0ced-40b2-adc2-ba12f891ac2d.png,"water priestess cloaked in ethereal fire and smoke, watercolor portrait by rembrandt and kim jung gi, anato finnstark, artstation, deviantart ","portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and g",74.59,6.08,10.910524939154788
1089eaca-c6e8-409b-8ec6-3b0c1d99f73a.png,"full page comic book drawings of disturbing shopping mall urbex scenes, urban hell on a hot summer night, bold color palette, high contrast, by carel willink and gregory crewdson, moebious, jean giraud, comic book panels, octane render, beserk anime ",a portrait painting of james tissot.,24.48,11.19,3.701653774616488
10999637-751c-4267-ab3b-3a3f3f0b7e25.png,"cute fluffy baby giraffe cheetah hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",a portrait painting of james tissot.,27.529999999999998,15.379999999999999,9.550083034774941
10a50fda-0a99-4ada-b1d6-44fb38ce2128.png,"a cat with two horns on his head, photo taken by a nikon, sharp focus, highly detailed, 4 k ",a portrait painting of james tissot.,51.559999999999995,20.31,0.0
10f0070d-d858-4d47-b667-baa73429bb07.png,"mysterious figure wearing a synthwave punk cyber cybernetic trenchcoat. movie still postapocalyptic, over the shoulder, fashion, vimeo netflix, decorated punk trenchcoat ",a portrait painting of james tissot.,33.98,15.53,0.0
10f143df-002f-4013-9d8a-c6b0c7c9a534.png,"white and brown mothman female by greg rutkowski, insect face, creature, hybrid, bug ",a portrait painting of james tissot.,51.239999999999995,9.92,0.0
1114e49e-a169-43bd-850f-5211bacdf2d6.png,"nebula explosion of swirling cloth, multicolor color scheme, by jesper ejsing and peter mohrbacher and marc simonetti and brom and joseph christian leyendecker and alphonse mucha and james gurney and jean leon gerome, coloreful, highdetailed, drawing, line, oilpainting ","portrait of rugged zeus greek god by victo ngai, kilian eng, loish, rhads, ferdinand knab, makoto shinkai lois van baarle, ilya kuvshin",62.22,19.259999999999998,2.4848675913203953
1173a581-b837-4b90-ab76-8cb644640eff.png,"photo cartoon illustration comic manga painting of bedroom environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ","a portrait painting of james tissot, art in the style of rembrandt!! intricate.",43.55,30.95,17.405337940628048
11b84b19-ba37-40a6-929a-713b8320d838.png,"dordogne typical landscape, little houses on the hills in the background, summer, river, ultra detailed, ultra sharp, award winning. 8 k, flowers, trees, fluffy clouds. ",a portrait painting of james tissot.,34.150000000000006,14.63,0.0
12271c48-6168-4d7d-b2f0-ee6c2f2afeba.png,"cyberpunk coral cyborg brain jellyfish, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",a portrait painting of jimmy nelson!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,25.929999999999996,16.3,4.390313654117923
12a24462-4dac-43c1-a145-89a25c72d815.png,"a surreal * * cognitive illusion * * of the key of the universe, by oleg shupliak and jeffrey smith, oil on canvas, surrealism ",a portrait painting of james tissot.,40.489999999999995,23.31,10.401949844734915
12d6282e-ce5f-4446-8185-c10493c1d49e.png,"photo cartoon illustration comic manga painting of cloakroom environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",a portrait painting of james tissot.,22.73,18.18,16.38837637306354
135aa08e-9986-4bb4-8905-96180dd7a4dd.png,"cyberpunk coral cyborg brain jellyfish, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ","portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw!!!!!!!!!",83.89,25.580000000000002,4.5822631072762
140972e2-59ff-4721-8a07-a04073c794c3.png,"the portrait of the absurdly beautiful, graceful, elegant, gorgeous, sophisticated dark - skinned black model goddess, an ultrafine hyperdetailed photograph by kim jung gi, irakli nadar, intricate linework, bright colors, octopath traveler, final fantasy, unreal engine 5 highly rendered, global illumination, radiant light, intricate environment ","portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and g",77.25,8.110000000000001,11.898478211617732
1445736c-377b-42e8-97d7-75a71cbe8a03.png,a photo of borber collie head on gray tabby cat body ,a portrait painting of james tissot.,51.690000000000005,29.21,7.734781234369076
147f8fbf-074f-4620-b56b-cd992ff0c326.png,"teak sorcerer, armored, highly detailed, portrait, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ","portrait of rugged zeus demons, highly detailed, portrait, digital painting, sharp foccus ilustration, artstation hq.",73.2,54.25,23.072268862808556
149855ba-14b2-45c4-969b-d32184fa49b1.png,"isometric glowing infinity diamond logo, vector art, artstation, neon, digital illustration, 8 k trending on artstation, colorful ",a portrait painting of james tissot.,38.550000000000004,25.3,0.0
14e21cdb-3362-4c8c-983e-551a9bb29734.png,"black and white - portrait of a beautiful woman in a moroccan castle by jean gerome, edward hopper and jenny saville and james jean, hyper detail, 8 k, high resolution, ultra detailed ",a portrait painting of james tissot.,31.819999999999997,22.73,13.984412899717052
152387e0-5ef5-4cbb-90f5-e2b8bbd0ea2b.png,"cyberpunk coral cyborg cat jellyfish, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",a portrait painting of jimmy mann!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,24.060000000000002,18.8,4.390313654117923
1543834e-1e23-4842-bf6d-171029ed0ffd.png,"photo illustration comics manga painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, fantasy, digital photography, intricate detail, unreal engine, 8 k, volumetric lighting, cell shader ",a portrait painting of james tissot.,24.64,18.84,8.422798788742247
156cfc0f-3d60-4a8d-8a9b-8e8a9e8988d4.png,someone unscrewing the moon like a lightbulb ,"a portrait painting of james tissot, art in the style of rembrandt!! intricate.",58.06,27.42,5.870361458334142
15ff1e68-25b1-4217-aa27-bf501d690bd6.png,portrait with a cat ; maurice denis ; symbolism ; 1 9 0 8 ,"a portrait painting of james tissot, robot steampunk, floral! horizon zero dawn machine, intricate, elegant, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artger",35.42,2.08,3.7270847222713637
1642d94e-89db-4cca-9f84-66d7bad4f196.png,"moon, vector! pop art, soft line, bright, colorful, clean, cutout ","a portrait painting of james tissot, art in the style of rembrandt!! intricate.",64.83,27.589999999999996,4.467742044818328
173f640e-6b91-4ebc-b188-43d150efb54f.png,"photo manga lineart blueprint of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render artstation artstation artstation artstation artstation artstation ",a portrait painting of james tissot.,22.220000000000002,16.34,6.221139478227744
17454a1f-e99b-4e18-b7f7-3c6fb8b75fd0.png,"magic the gathering card, jackie - chan as hulk, octane render, artgerm, denis sarazhin, beeple, greg rutkowski, rim light, vibrant colors, highly detailed, dramatic lighting, 8 k, trending on artstation, very coherent ",portrait of a beautiful woman with horns.,28.46,6.92,0.0
174ed5eb-c969-45e8-8f2e-ff8204aebbeb.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, octane render ","a portrait painting of james tissot, art in the style of rembrandt!! intricate.",49.34,26.32,16.151352661523905
17790282-f39e-44cf-af59-2ec76739f335.png,"kakodemon from doom, movie still ","portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw!!!!!!!!!",27.07,11.35,0.0
17b8f0a5-ebc4-4f9a-b874-8247730820de.png,"leather briar thorn garden, minimalist vector art logo in black red purple on white background with heart bramble rose thorn motifs ",a portrait painting of james tissot.,40.48,9.520000000000001,0.0
17dc11d5-dc2c-4d54-a29e-dbd88e08acd8.png,donald trump as minion ,a portrait painting of james tissot.,57.63,23.73,0.0
17fda64a-9cee-4350-85b0-584e88141469.png,"young adult cute girl wizard, lulu dubreuil greg rutkowski sarah shakeel tooth wu sumit mehndiratta stephen mcmennamy fabiola morcillo alex alice dom qwek kyle lambert ","portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and g",73.2,1.55,0.0
182cd000-d900-4470-81ae-fa7c45766f55.png,"robots building robots, oil painting by justin gerard, deviantart ",a portrait painting of james tissot.,62.74999999999999,39.22,7.357474610589511
184a7fab-82dd-4cec-8f94-aa04ef4653d4.png,"biohazard portrait of gandalf, tesla coils!, in laboratory au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ","portrait of rugged zeus greek god by victo ngai, kilian eng, loish, rhads, ferdinand knab, makoto shinkai lois van baarle, ilya kuvshin",60.089999999999996,19.72,4.382868152578752
18cd39d6-7988-44ef-9f4d-09f5db16ba11.png,"in the magic snake nest, a mystical steampunk dragon egg covered with huge electroplated scales, mouse ， magic light dust, horizon zero dawn machine, intricate. symmetrical. dim lighting, unreal engine 5, concept art ， by greg rutkowski, loish, highly rendered, digital painting, artstation, artstation hq, mysterious toplight 8 k ",a portrait painting of james tissot.,18.529999999999998,13.62,3.4970100471893666
18f8e51f-c4a4-4549-8d30-b755cdb1034a.png,"gouache watercolor illustration of filip hodas, cute cat pilots a spacecraft made of glass!!, dreamy aesthetic, misty, highly detailed, low poly style, octane render, 8 k, unreal engine 5, trending on artstation, vivid colors, 8 k, by syd mead and jeremy mann ","a portrait painting of james tissot, art in the style of rembrandt!! intricate.",46.02,25.369999999999997,12.505100390069728
19228e5e-c0e5-4e55-b950-7a83adfe1e59.png,"mysterious figure wearing a synthwave punk cyber cybernetic trenchcoat. photograph, postapocalyptic, over the shoulder, fashion, vimeo netflix, decorated punk trenchcoat. motocross helmet with two long spoilers. gentleman elegant ",a portrait painting of jimmy mann!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,21.12,11.219999999999999,0.0
19726eab-0f68-41a5-981e-52a37f9a5b61.png,"portrait of a tin toy robot jack the ripper as a bat with glowing red eyes sightseeing in victorian london, nicoletta ceccoli, mark ryden, lostfish, max fleischer, hyper realistic, artstation, illustration, digital paint, matte paint, vivid colors, bright, cheerful, detailed and intricate environment ",a portrait painting of james tissot.,20.71,13.020000000000001,7.798189571229066
19bb4695-6339-4d50-ab03-74f351e388df.png,"a robot coding, on screen retro game shown ","a portrait painting of james tissot, art in the style of rembrandt!! intricate.",62.3,34.43,0.0
19de5dc6-3f26-414c-a03b-0f3abb728351.png,"highly detailed portrait of a cute shiny jewellery, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, alphonse mucha, global illumination, radiant light, detailed and intricate environment ",a portrait painting of james tissot.,21.41,13.459999999999999,7.7981895712290665
19e3eb02-1fbc-4c67-bbbb-960cdb1c30d6.png,"a robot coding, on screen old video game shown ",a portrait painting of james tissot.,53.010000000000005,40.96,0.0
